version,base version,scenario,solution,timestamp,duration,base duration,relative duration
8.0.100-alpha.1.23062.1,7.0.100,cold,Orleans-eda972a,2023-01-12T18:15:13.8841991Z,16.3880701,16.2969507,100.55911932040145
8.0.100-alpha.1.23062.1,7.0.100,force,Orleans-eda972a,2023-01-12T18:15:13.8841991Z,6.8177052,6.4519904,105.66824773948827
8.0.100-alpha.1.23062.1,7.0.100,noop,Orleans-eda972a,2023-01-12T18:15:13.8841991Z,5.159871,4.7904179,107.71233549373638
8.0.100-alpha.1.23062.1,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T18:20:41.4162278Z,729.4630923,131.0150283,556.7781816828413
8.0.100-alpha.1.23062.1,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T18:20:41.4162278Z,427.8363376,79.1047092,540.8481263970059
8.0.100-alpha.1.23062.1,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T18:20:41.4162278Z,374.6318196,68.3857884,547.821160456198
8.0.100-alpha.1.23062.1,7.0.100,force,LargeAppCPM-142722b,2023-01-12T18:20:41.4162278Z,723.2860705,102.4049534,706.2998873450979
8.0.100-alpha.1.23062.1,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T18:20:41.4162278Z,14.1426954,13.8461456,102.14174983108657
8.0.100-alpha.1.23062.1,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-12T19:22:05.5393542Z,162.1242071,191.1943992,84.79547924958254
8.0.100-alpha.1.23062.1,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-12T19:22:05.5393542Z,121.0079157,299.8088046,40.36169513481994
8.0.100-alpha.1.23062.1,7.0.100,cold,NuGetClient-win-d76a117,2023-01-12T19:22:05.5393542Z,120.6822984,116.2173204,103.84192131141236
8.0.100-alpha.1.23062.1,7.0.100,force,NuGetClient-win-d76a117,2023-01-12T19:22:05.5393542Z,17.9352765,18.6511093,96.1619827084494
8.0.100-alpha.1.23062.1,7.0.100,noop,NuGetClient-win-d76a117,2023-01-12T19:22:05.5393542Z,12.535459,12.0850758,103.72677182546096
8.0.100-alpha.1.23062.1,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T19:15:35.4899770Z,713.2417116,130.0174717,548.5737434163628
8.0.100-alpha.1.23062.1,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T19:15:35.4899770Z,343.1086037,86.8464706,395.07489634241966
8.0.100-alpha.1.23062.1,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T19:15:35.4899770Z,317.9888917,66.1585595,480.6466375677361
8.0.100-alpha.1.23062.1,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T19:15:35.4899770Z,581.4016719,95.4275344,609.2598698641427
