version,base version,scenario,solution,timestamp,duration,base duration,relative duration
8.0.100-alpha.1.23062.2,7.0.100,cold,Orleans-eda972a,2023-01-12T20:13:37.1467240Z,14.7565298,13.4294333,109.88199926500248
8.0.100-alpha.1.23062.2,7.0.100,force,Orleans-eda972a,2023-01-12T20:13:37.1467240Z,5.3317803,4.9500423,107.71181288693231
8.0.100-alpha.1.23062.2,7.0.100,noop,Orleans-eda972a,2023-01-12T20:13:37.1467240Z,3.8446041,3.597439,106.87058487996599
8.0.100-alpha.1.23062.2,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T20:16:41.5139118Z,663.5949575,102.9773114,644.4088979196246
8.0.100-alpha.1.23062.2,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T20:16:41.5139118Z,338.5858323,65.4983265,516.9381423813935
8.0.100-alpha.1.23062.2,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T20:16:41.5139118Z,307.2339807,53.0814878,578.7968526006538
8.0.100-alpha.1.23062.2,7.0.100,force,LargeAppCPM-142722b,2023-01-12T20:16:41.5139118Z,628.797222,73.9602736,850.1823903474582
8.0.100-alpha.1.23062.2,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T20:16:41.5139118Z,10.5488999,10.4621008,100.8296526831399
8.0.100-alpha.1.23062.2,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-12T21:18:22.9056286Z,154.5203346,184.2086841,83.88330623767808
8.0.100-alpha.1.23062.2,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-12T21:18:22.9056286Z,130.1281163,136.8525181,95.08638796468006
8.0.100-alpha.1.23062.2,7.0.100,cold,NuGetClient-win-d76a117,2023-01-12T21:18:22.9056286Z,109.3153879,87.9632349,124.27395152562768
8.0.100-alpha.1.23062.2,7.0.100,force,NuGetClient-win-d76a117,2023-01-12T21:18:22.9056286Z,14.9918272,13.2356028,113.2689415551213
8.0.100-alpha.1.23062.2,7.0.100,noop,NuGetClient-win-d76a117,2023-01-12T21:18:22.9056286Z,9.9064667,11.4723376,86.35089940170519
8.0.100-alpha.1.23062.2,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T21:17:54.3459162Z,734.1885516,152.5424959,481.3009956788048
8.0.100-alpha.1.23062.2,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T21:17:54.3459162Z,379.492797,92.4027361,410.6943289961735
8.0.100-alpha.1.23062.2,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T21:17:54.3459162Z,370.9532176,83.6914328,443.2391765671862
8.0.100-alpha.1.23062.2,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T21:17:54.3459162Z,684.9043328,114.749637,596.8684090913507
8.0.100-alpha.1.23062.2,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T21:17:54.3459162Z,24.9347646,25.5096324,97.74646772252194
8.0.100-alpha.1.23062.2,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T21:11:49.5581159Z,32.5645595,28.2508104,115.26947028747891
8.0.100-alpha.1.23062.2,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T21:11:49.5581159Z,28.9639634,25.5040441,113.56615949389767
8.0.100-alpha.1.23062.2,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T21:11:49.5581159Z,24.4292044,22.0744623,110.66726821246287
8.0.100-alpha.1.23062.2,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T21:11:49.5581159Z,16.2347025,14.7037795,110.41176521995588
8.0.100-alpha.1.23062.2,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T21:11:49.5581159Z,11.5017252,10.1815666,112.96616377287165
8.0.100-alpha.1.23062.2,7.0.100,warmup,Orleans-eda972a,2023-01-12T21:11:08.8083747Z,24.9621306,23.3916536,106.7138348868162
8.0.100-alpha.1.23062.2,7.0.100,arctic,Orleans-eda972a,2023-01-12T21:11:08.8083747Z,20.3418662,20.1734049,100.83506627084056
8.0.100-alpha.1.23062.2,7.0.100,cold,Orleans-eda972a,2023-01-12T21:11:08.8083747Z,16.1089453,16.3897465,98.28672639933752
8.0.100-alpha.1.23062.2,7.0.100,force,Orleans-eda972a,2023-01-12T21:11:08.8083747Z,6.3436487,6.2444475,101.5886305393712
8.0.100-alpha.1.23062.2,7.0.100,noop,Orleans-eda972a,2023-01-12T21:11:08.8083747Z,4.8325539,4.5542062,106.11188180280462
8.0.100-alpha.1.23062.2,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T21:15:07.3453179Z,588.8549929,108.5837102,542.3050951338739
8.0.100-alpha.1.23062.2,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T21:15:07.3453179Z,352.2189918,65.7147393,535.9817227487654
8.0.100-alpha.1.23062.2,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T21:15:07.3453179Z,298.6594028,62.0271726,481.4976892885167
8.0.100-alpha.1.23062.2,7.0.100,force,LargeAppCPM-142722b,2023-01-12T21:15:07.3453179Z,566.4722223,71.9620078,787.1823474886426
8.0.100-alpha.1.23062.2,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T21:15:07.3453179Z,9.7872963,9.6852755,101.05335981408065
8.0.100-alpha.1.23062.2,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-12T22:19:18.2725693Z,223.7835369,119.6797289,186.9853307296387
8.0.100-alpha.1.23062.2,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-12T22:19:18.2725693Z,113.8116612,118.6781572,95.89941728552557
8.0.100-alpha.1.23062.2,7.0.100,cold,NuGetClient-win-d76a117,2023-01-12T22:19:18.2725693Z,94.4581769,88.8511758,106.31055363028747
8.0.100-alpha.1.23062.2,7.0.100,force,NuGetClient-win-d76a117,2023-01-12T22:19:18.2725693Z,16.0834328,16.5604025,97.11981819282474
8.0.100-alpha.1.23062.2,7.0.100,noop,NuGetClient-win-d76a117,2023-01-12T22:19:18.2725693Z,10.7662802,10.4951133,102.58374437939608
8.0.100-alpha.1.23062.2,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T22:16:57.1360682Z,622.6204107,131.4083045,473.805984385104
8.0.100-alpha.1.23062.2,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T22:16:57.1360682Z,326.2267875,76.4468919,426.7364956141533
8.0.100-alpha.1.23062.2,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T22:16:57.1360682Z,310.2441238,70.6831568,438.92228056231914
8.0.100-alpha.1.23062.2,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T22:16:57.1360682Z,607.8212016,89.91772,675.9748819253869
8.0.100-alpha.1.23062.2,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T22:16:57.1360682Z,18.762257,18.8527769,99.5198590611869
8.0.100-alpha.1.23062.2,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T22:12:07.4612128Z,32.2350972,27.2611626,118.2454969840501
8.0.100-alpha.1.23062.2,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T22:12:07.4612128Z,24.628814,25.3463245,97.16917338448813
8.0.100-alpha.1.23062.2,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T22:12:07.4612128Z,19.3585027,18.8260065,102.82851384333689
8.0.100-alpha.1.23062.2,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T22:12:07.4612128Z,12.656872,11.980088,105.64924063996858
8.0.100-alpha.1.23062.2,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T22:12:07.4612128Z,9.0785986,8.388843,108.22229716302951
8.0.100-alpha.1.23062.2,7.0.100,warmup,Orleans-eda972a,2023-01-12T22:11:26.8691642Z,20.5759161,19.4237561,105.93170545422986
8.0.100-alpha.1.23062.2,7.0.100,arctic,Orleans-eda972a,2023-01-12T22:11:26.8691642Z,18.7066791,17.8029319,105.07639530992081
8.0.100-alpha.1.23062.2,7.0.100,cold,Orleans-eda972a,2023-01-12T22:11:26.8691642Z,15.2430921,13.9470735,109.2924053207291
8.0.100-alpha.1.23062.2,7.0.100,force,Orleans-eda972a,2023-01-12T22:11:26.8691642Z,5.6419932,5.2820712,106.81403158670031
8.0.100-alpha.1.23062.2,7.0.100,noop,Orleans-eda972a,2023-01-12T22:11:26.8691642Z,4.1632143,3.9272494,106.00840119804971
8.0.100-alpha.1.23062.2,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T22:17:04.0781825Z,802.1827429,138.5467344,578.9979434549559
8.0.100-alpha.1.23062.2,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T22:17:04.0781825Z,419.5056727,88.8098581,472.36385878202407
8.0.100-alpha.1.23062.2,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T22:17:04.0781825Z,340.0232423,67.7193615,502.1063913900015
8.0.100-alpha.1.23062.2,7.0.100,force,LargeAppCPM-142722b,2023-01-12T22:17:04.0781825Z,652.9703553,89.3197211,731.0483589273099
8.0.100-alpha.1.23062.2,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T22:17:04.0781825Z,12.0443412,11.574896,104.05571851358317
8.0.100-alpha.1.23062.10,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-12T23:19:13.0342631Z,163.0701322,161.4100931,101.02846053063827
8.0.100-alpha.1.23062.10,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-12T23:19:13.0342631Z,94.5281967,96.5446422,97.91138539223878
8.0.100-alpha.1.23062.10,7.0.100,cold,NuGetClient-win-d76a117,2023-01-12T23:19:13.0342631Z,85.3247134,81.1438195,105.15244897980183
8.0.100-alpha.1.23062.10,7.0.100,force,NuGetClient-win-d76a117,2023-01-12T23:19:13.0342631Z,13.8320231,13.0286098,106.1665312902379
8.0.100-alpha.1.23062.10,7.0.100,noop,NuGetClient-win-d76a117,2023-01-12T23:19:13.0342631Z,10.2525222,10.0163343,102.35802732742256
8.0.100-alpha.1.23062.10,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T23:17:25.7641464Z,623.3227061,119.7008023,520.7339417306479
8.0.100-alpha.1.23062.10,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T23:17:25.7641464Z,326.7264731,73.9199574,442.0003536149224
8.0.100-alpha.1.23062.10,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T23:17:25.7641464Z,313.5658727,70.6371511,443.9107011211272
8.0.100-alpha.1.23062.10,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T23:17:25.7641464Z,587.8565332,87.0993386,674.9265179839149
8.0.100-alpha.1.23062.10,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T23:17:25.7641464Z,18.7493441,19.0609353,98.3652890317507
8.0.100-alpha.1.23062.10,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T23:13:14.8619759Z,29.7059197,24.3150354,122.17099095812955
8.0.100-alpha.1.23062.10,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T23:13:14.8619759Z,23.6984135,21.4444938,110.51048218261043
8.0.100-alpha.1.23062.10,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T23:13:14.8619759Z,20.6160339,19.3664155,106.45250227126442
8.0.100-alpha.1.23062.10,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T23:13:14.8619759Z,14.1983291,13.0706462,108.62759868750788
8.0.100-alpha.1.23062.10,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T23:13:14.8619759Z,9.7800581,9.2307652,105.95067568179503
8.0.100-alpha.1.23062.10,7.0.100,warmup,Orleans-eda972a,2023-01-12T23:12:29.0283710Z,25.5630102,24.080643,106.15584558933912
8.0.100-alpha.1.23062.10,7.0.100,arctic,Orleans-eda972a,2023-01-12T23:12:29.0283710Z,22.2545194,21.4050669,103.9684645881672
8.0.100-alpha.1.23062.10,7.0.100,cold,Orleans-eda972a,2023-01-12T23:12:29.0283710Z,17.0801498,16.6316136,102.69688925432948
8.0.100-alpha.1.23062.10,7.0.100,force,Orleans-eda972a,2023-01-12T23:12:29.0283710Z,6.884262,6.837873,100.67841271693696
8.0.100-alpha.1.23062.10,7.0.100,noop,Orleans-eda972a,2023-01-12T23:12:29.0283710Z,5.2972123,5.1668049,102.52394666576244
8.0.100-alpha.1.23062.10,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T23:17:18.3385744Z,684.6030617,106.2010325,644.6293840881443
8.0.100-alpha.1.23062.10,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T23:17:18.3385744Z,336.7417758,70.2963589,479.0316042955107
8.0.100-alpha.1.23062.10,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T23:17:18.3385744Z,338.0124411,58.006996,582.7097840060534
8.0.100-alpha.1.23062.10,7.0.100,force,LargeAppCPM-142722b,2023-01-12T23:17:18.3385744Z,557.1673644,76.999205,723.6014506903025
8.0.100-alpha.1.23062.10,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T23:17:18.3385744Z,10.4605331,9.9928157,104.6805366379368
8.0.100-alpha.1.23062.10,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-13T01:01:04.4448699Z,140.1076842,165.8139462,84.4969240590934
8.0.100-alpha.1.23062.10,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-13T01:01:04.4448699Z,109.6625911,104.5956696,104.84429376414643
8.0.100-alpha.1.23062.10,7.0.100,cold,NuGetClient-win-d76a117,2023-01-13T01:01:04.4448699Z,103.5879289,96.3790911,107.47966983058632
8.0.100-alpha.1.23062.10,7.0.100,force,NuGetClient-win-d76a117,2023-01-13T01:01:04.4448699Z,20.2043322,19.0107999,106.2781803305394
8.0.100-alpha.1.23062.10,7.0.100,noop,NuGetClient-win-d76a117,2023-01-13T01:01:04.4448699Z,13.8990503,13.5865045,102.30041362000064
